Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Exhaustive identification of human class II basic helix-loop-helix proteins by virtual library screening.","/pubmed/14516699","McLellan AS, Langlands K, Kealey T.","Mech Dev. 2002 Dec;119 Suppl 1:S285-91.","Mech Dev.  2002","PubMed","citation","PMID:14516699","pubmed","14516699","create date:2003/10/01 | first author:McLellan AS",
"Expression profiling using cDNA microarrays.","/pubmed/14501076","Zhao S, Bruce WB.","Methods Mol Biol. 2003;236:365-80.","Methods Mol Biol.  2003","PubMed","citation","PMID:14501076","pubmed","14501076","create date:2003/09/23 | first author:Zhao S",
"Single-nucleotide polymorphism genotyping on optical thin-film biosensor chips.","/pubmed/12975525","Zhong XB, Reynolds R, Kidd JR, Kidd KK, Jenison R, Marlar RA, Ward DC.","Proc Natl Acad Sci U S A. 2003 Sep 30;100(20):11559-64.","Proc Natl Acad Sci U S A.  2003","PubMed","citation","PMID:12975525 | PMCID:PMC208797","pubmed","12975525","create date:2003/09/17 | first author:Zhong XB",
"Positive correlation between single or combined genotypes of CYP1A1 and GSTM1 in relation to prostate cancer in Chilean people.","/pubmed/12949934","Acevedo C, Opazo JL, Huidobro C, Cabezas J, Iturrieta J, Quiñones Sepúlveda L.","Prostate. 2003 Oct 1;57(2):111-7.","Prostate.  2003","PubMed","citation","PMID:12949934","pubmed","12949934","create date:2003/09/02 | first author:Acevedo C",
"Differential Ca2+ signaling by thrombin and protease-activated receptor-1-activating peptide in human brain microvascular endothelial cells.","/pubmed/12944324","Kim YV, Di Cello F, Hillaire CS, Kim KS.","Am J Physiol Cell Physiol. 2004 Jan;286(1):C31-42.","Am J Physiol Cell Physiol.  2004","PubMed","citation","PMID:12944324","pubmed","12944324","create date:2003/08/29 | first author:Kim YV",
"Prostate cancer detection by GSTP1 methylation analysis of postbiopsy urine specimens.","/pubmed/12855646","Gonzalgo ML, Pavlovich CP, Lee SM, Nelson WG.","Clin Cancer Res. 2003 Jul;9(7):2673-7.","Clin Cancer Res.  2003","PubMed","citation","PMID:12855646","pubmed","12855646","create date:2003/07/12 | first author:Gonzalgo ML",
"Dose-dependent effects of strontium on osteoblast function and mineralization.","/pubmed/12846748","Verberckmoes SC, De Broe ME, D'Haese PC.","Kidney Int. 2003 Aug;64(2):534-43.","Kidney Int.  2003","PubMed","citation","PMID:12846748","pubmed","12846748","create date:2003/07/09 | first author:Verberckmoes SC",
"Expression of voltage-gated chloride channels in human glioma cells.","/pubmed/12843258","Olsen ML, Schade S, Lyons SA, Amaral MD, Sontheimer H.","J Neurosci. 2003 Jul 2;23(13):5572-82.","J Neurosci.  2003","PubMed","citation","PMID:12843258","pubmed","12843258","create date:2003/07/05 | first author:Olsen ML",
"Improved protocol for SAGE tag-to-gene allocation.","/pubmed/12813889","Kannbley U, Kapinya K, Dirnagl U, Trendelenburg G.","Biotechniques. 2003 Jun;34(6):1212-4, 1216-9.","Biotechniques.  2003","PubMed","citation","PMID:12813889","pubmed","12813889","create date:2003/06/20 | first author:Kannbley U",
"[Acute pharmacologic poisoning (I). Psychotropic and antiarrhythmic drugs].","/pubmed/12813478","Osés I, Burillo-Putze G, Munne P, Nogué S, Pinillos MA.","An Sist Sanit Navar. 2003;26 Suppl 1:49-63. Review. Spanish. ","An Sist Sanit Navar.  2003","PubMed","citation","PMID:12813478","pubmed","12813478","create date:2003/06/19 | first author:Osés I",
"Genetic relatedness and phenotypic characteristics of Treponema associated with human periodontal tissues and ruminant foot disease.","/pubmed/12724370","Edwards AM, Dymock D, Woodward MJ, Jenkinson HF.","Microbiology. 2003 May;149(Pt 5):1083-93.","Microbiology.  2003","PubMed","citation","PMID:12724370","pubmed","12724370","create date:2003/05/02 | first author:Edwards AM",
"Expression of growth hormone receptor and its mRNA in hepatic cirrhosis.","/pubmed/12679928","Wang HT, Chen S, Wang J, Ou QJ, Liu C, Zheng SS, Deng MH, Liu XP.","World J Gastroenterol. 2003 Apr;9(4):765-70.","World J Gastroenterol.  2003","PubMed","citation","PMID:12679928 | PMCID:PMC4611446","pubmed","12679928","create date:2003/04/08 | first author:Wang HT",
"Loss of clusterin both in serum and tissue correlates with the tumorigenesis of esophageal squamous cell carcinoma via proteomics approaches.","/pubmed/12679903","Zhang LY, Ying WT, Mao YS, He HZ, Liu Y, Wang HX, Liu F, Wang K, Zhang DC, Wang Y, Wu M, Qian XH, Zhao XH.","World J Gastroenterol. 2003 Apr;9(4):650-4.","World J Gastroenterol.  2003","PubMed","citation","PMID:12679903 | PMCID:PMC4611421","pubmed","12679903","create date:2003/04/08 | first author:Zhang LY",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Genetic profiling of noncultivated bacteria from the rhizospheres of sugar beet (Beta vulgaris) reveal field and annual variability but no effect of a transgenic herbicide resistance.","/pubmed/12674342","Schmalenberger A, Tebbe CC.","Can J Microbiol. 2003 Jan;49(1):1-8.","Can J Microbiol.  2003","PubMed","citation","PMID:12674342","pubmed","12674342","create date:2003/04/04 | first author:Schmalenberger A",
"Renal mRNA levels as prognostic tools in kidney diseases.","/pubmed/12660324","Eikmans M, Baelde HJ, Hagen EC, Paul LC, Eilers PH, De Heer E, Bruijn JA.","J Am Soc Nephrol. 2003 Apr;14(4):899-907.","J Am Soc Nephrol.  2003","PubMed","citation","PMID:12660324","pubmed","12660324","create date:2003/03/28 | first author:Eikmans M",
"Characterizing the stress/defense transcriptome of Arabidopsis.","/pubmed/12620105","Mahalingam R, Gomez-Buitrago A, Eckardt N, Shah N, Guevara-Garcia A, Day P, Raina R, Fedoroff NV.","Genome Biol. 2003;4(3):R20.","Genome Biol.  2003","PubMed","citation","PMID:12620105 | PMCID:PMC153460","pubmed","12620105","create date:2003/03/07 | first author:Mahalingam R",
"OFD1, the gene mutated in oral-facial-digital syndrome type 1, is expressed in the metanephros and in human embryonic renal mesenchymal cells.","/pubmed/12595504","Romio L, Wright V, Price K, Winyard PJ, Donnai D, Porteous ME, Franco B, Giorgio G, Malcolm S, Woolf AS, Feather SA.","J Am Soc Nephrol. 2003 Mar;14(3):680-9.","J Am Soc Nephrol.  2003","PubMed","citation","PMID:12595504","pubmed","12595504","create date:2003/02/22 | first author:Romio L",
"Influence of interleukin-1 gene polymorphism on periodontal regeneration in intrabony defects.","/pubmed/12558933","Christgau M, Aslanidis C, Felden A, Hiller KA, Schmitz G, Schmalz G.","J Periodontal Res. 2003 Feb;38(1):20-7.","J Periodontal Res.  2003","PubMed","citation","PMID:12558933","pubmed","12558933","create date:2003/02/01 | first author:Christgau M",
"[The application of minisatellite MS31A MVR-PCR digital coding technique in forensic science].","/pubmed/12536427","Hou G.","Fa Yi Xue Za Zhi. 2000 Feb;16(1):18-20, 64. Chinese. ","Fa Yi Xue Za Zhi.  2000","PubMed","citation","PMID:12536427","pubmed","12536427","create date:2003/01/23 | first author:Hou G",
"Culture-independent analysis of probiotic products by denaturing gradient gel electrophoresis.","/pubmed/12513998","Temmerman R, Scheirlinck I, Huys G, Swings J.","Appl Environ Microbiol. 2003 Jan;69(1):220-6.","Appl Environ Microbiol.  2003","PubMed","citation","PMID:12513998 | PMCID:PMC152406","pubmed","12513998","create date:2003/01/07 | first author:Temmerman R",
"DEPD, a high resolution gene expression profiling technique capable of identifying new drug targets in the central nervous system.","/pubmed/12503622","Maelicke A, Lübbert H.","J Recept Signal Transduct Res. 2002 Feb-Nov;22(1-4):283-95. Review.","J Recept Signal Transduct Res.  2002","PubMed","citation","PMID:12503622","pubmed","12503622","create date:2002/12/31 | first author:Maelicke A",
"Bacterial diversity in maize rhizospheres: conclusions on the use of genetic profiles based on PCR-amplified partial small subunit rRNA genes in ecological studies.","/pubmed/12492893","Schmalenberger A, Tebbe CC.","Mol Ecol. 2003 Jan;12(1):251-62.","Mol Ecol.  2003","PubMed","citation","PMID:12492893","pubmed","12492893","create date:2002/12/21 | first author:Schmalenberger A",
"[Identification of digital differential expression patterns of a novel human gene (UBAP1) by an expressed sequence tag strategy].","/pubmed/12451983","Qian J, Zhang XM, Li XL, Wang JR, Li WF, Wang R, Li GY.","Ai Zheng. 2002 Mar;21(3):225-8. Chinese. ","Ai Zheng.  2002","PubMed","citation","PMID:12451983","pubmed","12451983","create date:2002/11/28 | first author:Qian J",
"Gene expression analysis using oligonucleotide arrays produced by maskless photolithography.","/pubmed/12421762","Nuwaysir EF, Huang W, Albert TJ, Singh J, Nuwaysir K, Pitas A, Richmond T, Gorski T, Berg JP, Ballin J, McCormick M, Norton J, Pollock T, Sumwalt T, Butcher L, Porter D, Molla M, Hall C, Blattner F, Sussman MR, Wallace RL, Cerrina F, et al.","Genome Res. 2002 Nov;12(11):1749-55.","Genome Res.  2002","PubMed","citation","PMID:12421762 | PMCID:PMC187555","pubmed","12421762","create date:2002/11/08 | first author:Nuwaysir EF",
"Identification from public data of molecular markers of adenocarcinoma characteristic of the site of origin.","/pubmed/12414618","Dennis JL, Vass JK, Wit EC, Keith WN, Oien KA.","Cancer Res. 2002 Nov 1;62(21):5999-6005.","Cancer Res.  2002","PubMed","citation","PMID:12414618","pubmed","12414618","create date:2002/11/05 | first author:Dennis JL",
"Identification of Zfp393, a germ cell-specific gene encoding a novel zinc finger protein.","/pubmed/12351194","Yan W, Burns KH, Ma L, Matzuk MM.","Mech Dev. 2002 Oct;118(1-2):233-9.","Mech Dev.  2002","PubMed","citation","PMID:12351194","pubmed","12351194","create date:2002/09/28 | first author:Yan W",
"Evaluation of new linkers and synthetic methods for internal modified oligonucleotides.","/pubmed/12236799","Walton TA, Lyttle MH, Dick DJ, Cook RM.","Bioconjug Chem. 2002 Sep-Oct;13(5):1155-8.","Bioconjug Chem.  2002","PubMed","citation","PMID:12236799","pubmed","12236799","create date:2002/09/19 | first author:Walton TA",
"Bioinformatics-based discovery of a novel factor with apparent specificity to colon cancer.","/pubmed/12224133","De Young MP, Damania H, Scheurle D, Zylberberg C, Narayanan R.","In Vivo. 2002 Jul-Aug;16(4):239-48.","In Vivo.  2002","PubMed","citation","PMID:12224133","pubmed","12224133","create date:2002/09/13 | first author:De Young MP",
"Molecular typing of papillomatous digital dermatitis-associated Treponema isolates based on analysis of 16S-23S ribosomal DNA intergenic spacer regions.","/pubmed/12202594","Stamm LV, Bergen HL, Walker RL.","J Clin Microbiol. 2002 Sep;40(9):3463-9.","J Clin Microbiol.  2002","PubMed","citation","PMID:12202594 | PMCID:PMC130723","pubmed","12202594","create date:2002/08/31 | first author:Stamm LV",
"Differentiating embryonic stem cells: GAPDH, but neither HPRT nor beta-tubulin is suitable as an internal standard for measuring RNA levels.","/pubmed/12201995","Murphy CL, Polak JM.","Tissue Eng. 2002 Aug;8(4):551-9.","Tissue Eng.  2002","PubMed","citation","PMID:12201995","pubmed","12201995","create date:2002/08/31 | first author:Murphy CL",
"Cryosurgery plus adjuvant systemic alpha2-interferon for HPV-associated lesions.","/pubmed/12168920","Scala M, Bonelli G, Gipponi M, Margarino G, Muzza A.","Anticancer Res. 2002 Mar-Apr;22(2B):1171-6.","Anticancer Res.  2002","PubMed","citation","PMID:12168920","pubmed","12168920","create date:2002/08/10 | first author:Scala M",
"Erythropoietin modulates calcium influx through TRPC2.","/pubmed/12167663","Chu X, Cheung JY, Barber DL, Birnbaumer L, Rothblum LI, Conrad K, Abrasonis V, Chan YM, Stahl R, Carey DJ, Miller BA.","J Biol Chem. 2002 Sep 13;277(37):34375-82.","J Biol Chem.  2002","PubMed","citation","PMID:12167663","pubmed","12167663","create date:2002/08/09 | first author:Chu X",
"17Beta-estradiol regulates expression of K(ATP) channels in heart-derived H9c2 cells.","/pubmed/12106946","Ranki HJ, Budas GR, Crawford RM, Davies AM, Jovanović A.","J Am Coll Cardiol. 2002 Jul 17;40(2):367-74.","J Am Coll Cardiol.  2002","PubMed","citation","PMID:12106946","pubmed","12106946","create date:2002/07/11 | first author:Ranki HJ",
"Atorvastatin inhibits hypercholesterolemia-induced cellular proliferation and bone matrix production in the rabbit aortic valve.","/pubmed/12045173","Rajamannan NM, Subramaniam M, Springett M, Sebo TC, Niekrasz M, McConnell JP, Singh RJ, Stone NJ, Bonow RO, Spelsberg TC.","Circulation. 2002 Jun 4;105(22):2660-5.","Circulation.  2002","PubMed","citation","PMID:12045173 | PMCID:PMC3951862","pubmed","12045173","create date:2002/06/05 | first author:Rajamannan NM",
"Dose-image optimisation in digital radiology with a direct digital detector: an example applied to pelvic examinations.","/pubmed/12042972","Persliden J, Beckman KW, Geijer H, Andersson T.","Eur Radiol. 2002 Jun;12(6):1584-8.","Eur Radiol.  2002","PubMed","citation","PMID:12042972","pubmed","12042972","create date:2002/06/04 | first author:Persliden J",
"Development of variable-number tandem repeat typing of Mycobacterium bovis: comparison of results with those obtained by using existing exact tandem repeats and spoligotyping.","/pubmed/12037076","Roring S, Scott A, Brittain D, Walker I, Hewinson G, Neill S, Skuce R.","J Clin Microbiol. 2002 Jun;40(6):2126-33.","J Clin Microbiol.  2002","PubMed","citation","PMID:12037076 | PMCID:PMC130792","pubmed","12037076","create date:2002/05/31 | first author:Roring S",
"Bacterial community composition in the rhizosphere of a transgenic, herbicide-resistant maize (Zea mays) and comparison to its non-transgenic cultivar Bosphore.","/pubmed/19709208","Schmalenberger A, Tebbe CC.","FEMS Microbiol Ecol. 2002 Apr 1;40(1):29-37. doi: 10.1111/j.1574-6941.2002.tb00933.x.","FEMS Microbiol Ecol.  2002","PubMed","citation","PMID:19709208","pubmed","19709208","create date:2002/04/01 | first author:Schmalenberger A",
"Retroviral gene therapy vectors for prevention of excimer laser-induced corneal haze.","/pubmed/11923236","Behrens A, Gordon EM, Li L, Liu PX, Chen Z, Peng H, La Bree L, Anderson WF, Hall FL, McDonnell PJ.","Invest Ophthalmol Vis Sci. 2002 Apr;43(4):968-77.","Invest Ophthalmol Vis Sci.  2002","PubMed","citation","PMID:11923236","pubmed","11923236","create date:2002/03/30 | first author:Behrens A",
"Aldosterone synthase (CYP11B2) expression and myocardial fibrosis in the failing human heart.","/pubmed/11914098","Satoh M, Nakamura M, Saitoh H, Satoh H, Akatsu T, Iwasaka J, Masuda T, Hiramori K.","Clin Sci (Lond). 2002 Apr;102(4):381-6.","Clin Sci (Lond).  2002","PubMed","citation","PMID:11914098","pubmed","11914098","create date:2002/03/27 | first author:Satoh M",
"Digital analysis of cDNA abundance; expression profiling by means of restriction fragment fingerprinting.","/pubmed/11882253","Hof P, Ortmeier C, Pape K, Reitmaier B, Regenbogen J, Goppelt A, Halle JP.","BMC Genomics. 2002;3:7.","BMC Genomics.  2002","PubMed","citation","PMID:11882253 | PMCID:PMC99051","pubmed","11882253","create date:2002/03/08 | first author:Hof P",
"Discrimination of Mycobacterium tuberculosis complex bacteria using novel VNTR-PCR targets.","/pubmed/11832515","Skuce RA, McCorry TP, McCarroll JF, Roring SM, Scott AN, Brittain D, Hughes SL, Hewinson RG, Neill SD.","Microbiology. 2002 Feb;148(Pt 2):519-28.","Microbiology.  2002","PubMed","citation","PMID:11832515","pubmed","11832515","create date:2002/02/08 | first author:Skuce RA",
"Aquaporins in rat pancreatic interlobular ducts.","/pubmed/11804854","Ko SB, Naruse S, Kitagawa M, Ishiguro H, Furuya S, Mizuno N, Wang Y, Yoshikawa T, Suzuki A, Shimano S, Hayakawa T.","Am J Physiol Gastrointest Liver Physiol. 2002 Feb;282(2):G324-31.","Am J Physiol Gastrointest Liver Physiol.  2002","PubMed","citation","PMID:11804854","pubmed","11804854","create date:2002/01/24 | first author:Ko SB",
"Dysregulation of annexin I protein expression in high-grade prostatic intraepithelial neoplasia and prostate cancer.","/pubmed/11801547","Kang JS, Calvo BF, Maygarden SJ, Caskey LS, Mohler JL, Ornstein DK.","Clin Cancer Res. 2002 Jan;8(1):117-23.","Clin Cancer Res.  2002","PubMed","citation","PMID:11801547","pubmed","11801547","create date:2002/01/22 | first author:Kang JS",
"Digital image analysis for rapid quantification of total RNA and cDNA for SMART-PCR.","/pubmed/11680702","Semova N, Semov A, Wang E.","Biotechniques. 2001 Oct;31(4):746, 748, 750, 752. No abstract available. ","Biotechniques.  2001","PubMed","citation","PMID:11680702","pubmed","11680702","create date:2001/10/30 | first author:Semova N",
"Fingerprinting of cell lines by directed amplification of minisatellite-region DNA (DAMD).","/pubmed/11668348","Silva LM, Montes de Oca H, Diniz CR, Fortes-Dias CL.","Braz J Med Biol Res. 2001 Nov;34(11):1405-10.","Braz J Med Biol Res.  2001","PubMed","citation","PMID:11668348","pubmed","11668348","create date:2001/10/23 | first author:Silva LM",
"Prostate epithelium-derived Ets transcription factor mRNA is overexpressed in human breast tumors and is a candidate breast tumor marker and a breast tumor antigen.","/pubmed/11555586","Ghadersohi A, Sood AK.","Clin Cancer Res. 2001 Sep;7(9):2731-8.","Clin Cancer Res.  2001","PubMed","citation","PMID:11555586","pubmed","11555586","create date:2001/09/14 | first author:Ghadersohi A",
"Gender-specific difference in cardiac ATP-sensitive K(+) channels.","/pubmed/11527652","Ranki HJ, Budas GR, Crawford RM, Jovanović A.","J Am Coll Cardiol. 2001 Sep;38(3):906-15.","J Am Coll Cardiol.  2001","PubMed","citation","PMID:11527652","pubmed","11527652","create date:2001/08/31 | first author:Ranki HJ",
"Detection of cows' milk in goats' cheeses inferred from mitochondrial DNA polymorphism.","/pubmed/11504387","Maudet C, Taberlet P.","J Dairy Res. 2001 May;68(2):229-35.","J Dairy Res.  2001","PubMed","citation","PMID:11504387","pubmed","11504387","create date:2001/08/16 | first author:Maudet C",
"Nitrification in sequencing biofilm batch reactors: lessons from molecular approaches.","/pubmed/11381937","Daims H, Purkhold U, Bjerrum L, Arnold E, Wilderer PA, Wagner M.","Water Sci Technol. 2001;43(3):9-18.","Water Sci Technol.  2001","PubMed","citation","PMID:11381937","pubmed","11381937","create date:2001/05/31 | first author:Daims H",
"Beta-2 adrenergic receptor gene variations and blood pressure under stress in normal twins.","/pubmed/11352137","Li GH, Faulhaber HD, Rosenthal M, Schuster H, Jordan J, Timmermann B, Hoehe MR, Luft FC, Busjahn A.","Psychophysiology. 2001 May;38(3):485-9.","Psychophysiology.  2001","PubMed","citation","PMID:11352137","pubmed","11352137","create date:2001/05/16 | first author:Li GH",
"High-throughput AFLP analysis using infrared dye-labeled primers and an automated DNA sequencer.","/pubmed/11233604","Myburg AA, Remington DL, O'Malley DM, Sederoff RR, Whetten RW.","Biotechniques. 2001 Feb;30(2):348-52, 354, 356-7.","Biotechniques.  2001","PubMed","citation","PMID:11233604","pubmed","11233604","create date:2001/03/10 | first author:Myburg AA",
"[A case of bilateral coronal craniosynostosis with the P250R mutation in FGFR3 gene].","/pubmed/11197897","Mori F, Kuwajima K, Yamanaka K, Kondou I.","No To Hattatsu. 2001 Jan;33(1):53-7. Japanese. ","No To Hattatsu.  2001","PubMed","citation","PMID:11197897","pubmed","11197897","create date:2001/02/24 | first author:Mori F",
"[Intra- and intercellular Ca(2+)-signal transduction].","/pubmed/11196579","Himpens B, Vereecke J.","Verh K Acad Geneeskd Belg. 2000;62(6):501-63. Review. Dutch. ","Verh K Acad Geneeskd Belg.  2000","PubMed","citation","PMID:11196579","pubmed","11196579","create date:2001/02/24 | first author:Himpens B",
"High-resolution minisatellite-based typing as a portable approach to global analysis of Mycobacterium tuberculosis molecular epidemiology.","/pubmed/11172048","Mazars E, Lesjean S, Banuls AL, Gilbert M, Vincent V, Gicquel B, Tibayrenc M, Locht C, Supply P.","Proc Natl Acad Sci U S A. 2001 Feb 13;98(4):1901-6.","Proc Natl Acad Sci U S A.  2001","PubMed","citation","PMID:11172048 | PMCID:PMC29354","pubmed","11172048","create date:2001/02/15 | first author:Mazars E",
"Automated fluorescent in situ hybridization for the specific detection and quantification of oral streptococci in dental plaque.","/pubmed/11166098","Thurnheer T, Gmür R, Giertsen E, Guggenheim B.","J Microbiol Methods. 2001 Feb 1;44(1):39-47.","J Microbiol Methods.  2001","PubMed","citation","PMID:11166098","pubmed","11166098","create date:2001/02/13 | first author:Thurnheer T",
"Rapid identification of laboratory contamination with Mycobacterium tuberculosis using variable number tandem repeat analysis.","/pubmed/11136751","Gascoyne-Binzi DM, Barlow RE, Frothingham R, Robinson G, Collyns TA, Gelletlie R, Hawkey PM.","J Clin Microbiol. 2001 Jan;39(1):69-74.","J Clin Microbiol.  2001","PubMed","citation","PMID:11136751 | PMCID:PMC87682","pubmed","11136751","create date:2001/01/04 | first author:Gascoyne-Binzi DM",
"Counting alleles reveals a connection between chromosome 18q loss and vascular invasion.","/pubmed/11135558","Zhou W, Galizia G, Lieto E, Goodman SN, Romans KE, Kinzler KW, Vogelstein B, Choti MA, Montgomery EA.","Nat Biotechnol. 2001 Jan;19(1):78-81. Erratum in: Nat Biotechnol 2001 Mar;19(3):277. ","Nat Biotechnol.  2001","PubMed","citation","PMID:11135558","pubmed","11135558","create date:2001/01/03 | first author:Zhou W",
"Identification of human candidate genes for male infertility by digital differential display.","/pubmed/11134355","Olesen C, Hansen C, Bendsen E, Byskov AG, Schwinger E, Lopez-Pajares I, Jensen PK, Kristoffersson U, Schubert R, Van Assche E, Wahlstroem J, Lespinasse J, Tommerup N.","Mol Hum Reprod. 2001 Jan;7(1):11-20.","Mol Hum Reprod.  2001","PubMed","citation","PMID:11134355","pubmed","11134355","create date:2001/01/03 | first author:Olesen C",
"Characterization of cultured smooth muscle cells obtained from the palmar digital arteries of horses.","/pubmed/11131606","Rodgerson DH, Belknap JK, Fontaine GL, Kroll DL.","Am J Vet Res. 2000 Dec;61(12):1602-8.","Am J Vet Res.  2000","PubMed","citation","PMID:11131606","pubmed","11131606","create date:2000/12/29 | first author:Rodgerson DH",
"Detecting circulating prostate cells in patients with clinically localized prostate cancer: clinical implications for molecular staging.","/pubmed/11119095","Llanes L, Páez A, Ferruelo A, Luján M, Romero I, Berenguer A.","BJU Int. 2000 Dec;86(9):1023-7.","BJU Int.  2000","PubMed","citation","PMID:11119095","pubmed","11119095","create date:2000/12/19 | first author:Llanes L",
"DNA recognition by quinoline antibiotics: use of base-modified DNA molecules to investigate determinants of sequence-specific binding of luzopeptin.","/pubmed/11097063","Bailly C, Crow S, Minnock A, Waring MJ.","Nucleosides Nucleotides Nucleic Acids. 2000 Aug;19(8):1337-53.","Nucleosides Nucleotides Nucleic Acids.  2000","PubMed","citation","PMID:11097063","pubmed","11097063","create date:2000/11/30 | first author:Bailly C",
"miniSAGE: gene expression profiling using serial analysis of gene expression from 1 microg total RNA.","/pubmed/11078594","Ye SQ, Zhang LQ, Zheng F, Virgil D, Kwiterovich PO.","Anal Biochem. 2000 Dec 1;287(1):144-52.","Anal Biochem.  2000","PubMed","citation","PMID:11078594","pubmed","11078594","create date:2000/11/18 | first author:Ye SQ",
"Tissue gene expression analysis using arrayed normalized cDNA libraries.","/pubmed/10958641","Eickhoff H, Schuchhardt J, Ivanov I, Meier-Ewert S, O'Brien J, Malik A, Tandon N, Wolski EW, Rohlfs E, Nyarsik L, Reinhardt R, Nietfeld W, Lehrach H.","Genome Res. 2000 Aug;10(8):1230-40.","Genome Res.  2000","PubMed","citation","PMID:10958641 | PMCID:PMC310898","pubmed","10958641","create date:2000/08/25 | first author:Eickhoff H",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Cancer gene discovery using digital differential display.","/pubmed/10945605","Scheurle D, DeYoung MP, Binninger DM, Page H, Jahanzeb M, Narayanan R.","Cancer Res. 2000 Aug 1;60(15):4037-43.","Cancer Res.  2000","PubMed","citation","PMID:10945605","pubmed","10945605","create date:2000/08/17 | first author:Scheurle D",
"Characterization of muscarinic receptors in human lens cells by pharmacologic and molecular techniques.","/pubmed/10937576","Collison DJ, Coleman RA, James RS, Carey J, Duncan G.","Invest Ophthalmol Vis Sci. 2000 Aug;41(9):2633-41.","Invest Ophthalmol Vis Sci.  2000","PubMed","citation","PMID:10937576","pubmed","10937576","create date:2000/08/11 | first author:Collison DJ",
"Quantitative microscopy after fluorescence in situ hybridization - a comparison between repeat-depleted and non-depleted DNA probes.","/pubmed/10889276","Rauch J, Wolf D, Craig JM, Hausmann M, Cremer C.","J Biochem Biophys Methods. 2000 Jul 10;44(1-2):59-72.","J Biochem Biophys Methods.  2000","PubMed","citation","PMID:10889276","pubmed","10889276","create date:2000/07/13 | first author:Rauch J",
"Circulating bronchoepithelial cells expressing mRNA for surfactant protein A in patients with pulmonary fibrosis.","/pubmed/10868711","Dohmoto K, Hojo S, Fujita J, Kamei T, Ueda Y, Miyawaki H, Bandoh S, Okada H, Takahara J.","Respir Med. 2000 May;94(5):475-81.","Respir Med.  2000","PubMed","citation","PMID:10868711","pubmed","10868711","create date:2000/06/27 | first author:Dohmoto K",
"Mucosal human papillomavirus types in squamous cell carcinomas of the uterine cervix and subsequently on fingers.","/pubmed/10848738","Forslund O, Nordin P, Hansson BG.","Br J Dermatol. 2000 Jun;142(6):1148-53.","Br J Dermatol.  2000","PubMed","citation","PMID:10848738","pubmed","10848738","create date:2000/06/10 | first author:Forslund O",
"Study on DNA polymorphism at D1S8 locus in Hebei Han population.","/pubmed/10837523","Guo X, Cong B, Gu Z, Zuo M, Zhang G, Yao Y, Peng Y, Wang J, You H.","Zhonghua Yi Xue Yi Chuan Xue Za Zhi. 2000 Jun;17(3):192-5. Chinese. ","Zhonghua Yi Xue Yi Chuan Xue Za Zhi.  2000","PubMed","citation","PMID:10837523","pubmed","10837523","create date:2000/06/06 | first author:Guo X",
"A spirochete isolated from a case of severe virulent ovine foot disease is closely related to a Treponeme isolated from human periodontitis and bovine digital dermatitis.","/pubmed/10808093","Collighan RJ, Naylor RD, Martin PK, Cooley BA, Buller N, Woodward MJ.","Vet Microbiol. 2000 Jun 1;74(3):249-57.","Vet Microbiol.  2000","PubMed","citation","PMID:10808093","pubmed","10808093","create date:2000/05/16 | first author:Collighan RJ",
"Expression of parathyroid hormone-related peptide (PTH-rp) and its receptorin the porcine ovary: regulation by transforming growth factor-beta and possible paracrine effects of granulosa cell PTH-rp secretion on theca cells.","/pubmed/10642570","Garmey JC, Schnorr JA, Bruns ME, Bruns DE, Seaner RM, Ferguson II JE, Luking Jayes FC, Aguirre C, Veldhuis JD.","Biol Reprod. 2000 Feb;62(2):334-9.","Biol Reprod.  2000","PubMed","citation","PMID:10642570","pubmed","10642570","create date:2000/01/22 | first author:Garmey JC",
"[The use of computer morphodensitometry in modern molecular diagnostic methods].","/pubmed/10599138","Kogan EM, Zhukotskiĭ AV, Govorun VM, Momynaliev KT, Potapov IA, Iakubova NI, Ialpaev VV.","Vopr Med Khim. 1998 Nov-Dec;44(6):527-36. Russian. ","Vopr Med Khim.  1998","PubMed","citation","PMID:10599138","pubmed","10599138","create date:1999/12/22 | first author:Kogan EM",
"Hypertrophic osteoarthropathy can indicate recurrence of Whipple's disease.","/pubmed/10513818","Marie I, Levesque H, Levade MH, Cailleux N, Lecomte F, François A, Métayer J, Lerebours E, Courtois H.","Arthritis Rheum. 1999 Sep;42(9):2002-6.","Arthritis Rheum.  1999","PubMed","citation","PMID:10513818","pubmed","10513818","create date:1999/10/08 | first author:Marie I",
"[Columbia University experience of detection of circulating cells by RT-PCR PSA in prostate cancer as a predictive factor of stage and biochemical recurrence].","/pubmed/10434336","de la Taille A, Olsson CA, Buttyan R, Bagiella E, Cao Y, Burchardt T, Katz AE.","Prog Urol. 1999 Jun;9(3):555-61. French. ","Prog Urol.  1999","PubMed","citation","PMID:10434336","pubmed","10434336","create date:1999/08/06 | first author:de la Taille A",
"Digital PCR.","/pubmed/10430926","Vogelstein B, Kinzler KW.","Proc Natl Acad Sci U S A. 1999 Aug 3;96(16):9236-41.","Proc Natl Acad Sci U S A.  1999","PubMed","citation","PMID:10430926 | PMCID:PMC17763","pubmed","10430926","create date:1999/08/04 | first author:Vogelstein B",
